day_of_week,hour_of_day,traffic_level,total_connectors,available_connectors,queue_length,wait_time_minutes
5,3,1,2,1,0,0.0
1,7,2,2,0,5,144.99
0,18,1,3,0,1,25.72
1,7,2,4,0,5,73.3
1,22,1,4,4,0,0.0
3,7,2,3,0,1,35.05
6,5,0,4,2,0,0.0
2,4,0,2,0,0,12.03
3,3,0,3,2,0,0.0
6,1,0,4,4,0,0.0
0,12,1,2,1,0,0.0
6,20,0,4,4,0,0.0
1,22,0,2,2,0,0.0
1,9,1,2,0,4,97.03
2,14,0,4,1,0,0.0
2,11,1,2,1,0,0.0
5,21,0,4,4,0,0.0
5,5,1,4,1,0,0.0
1,14,0,3,1,0,0.0
5,10,0,2,0,1,28.16
3,8,1,2,0,2,60.03
5,15,1,3,3,0,0.0
1,8,1,2,0,5,116.06
3,18,2,3,0,2,49.09
4,15,0,2,0,0,11.57
5,5,0,4,4,0,0.0
0,12,1,3,3,0,0.0
4,8,1,4,0,5,57.57
6,8,2,4,0,3,48.48
3,5,0,3,2,0,0.0
4,5,0,4,2,0,0.0
6,20,1,4,1,0,0.0
1,11,1,2,2,0,0.0
0,19,2,3,0,1,28.17
2,9,1,2,0,5,113.55
0,2,0,4,0,2,17.63
6,4,1,2,1,0,0.0
4,5,1,3,3,0,0.0
1,17,2,4,0,3,45.97
3,21,0,4,3,0,0.0
4,14,0,2,0,0,13.13
2,0,1,4,1,0,0.0
4,7,1,2,0,2,56.68
0,1,0,3,1,0,0.0
2,21,0,3,1,0,0.0
5,18,2,4,0,4,57.18
6,13,0,2,0,2,40.43
3,11,0,3,3,0,0.0
6,23,1,2,2,0,0.0
5,3,0,2,2,0,0.0
2,3,0,2,0,2,37.05
3,4,0,3,2,0,0.0
3,7,2,2,0,1,48.14
5,17,1,2,0,2,55.65
3,15,0,3,3,0,0.0
0,5,0,3,3,0,0.0
2,14,0,3,3,0,0.0
1,6,0,3,0,2,23.91
5,17,2,2,0,1,48.22
0,18,2,3,0,1,29.7
4,2,0,2,2,0,0.0
0,21,0,2,0,2,38.25
1,18,1,4,0,4,47.55
5,18,2,4,0,3,47.42
1,21,0,4,1,0,0.0
2,12,1,2,2,0,0.0
2,14,0,3,0,1,15.46
4,18,1,2,0,5,120.7
2,4,0,3,1,0,0.0
2,9,2,2,0,5,143.97
6,20,0,4,4,0,0.0
2,21,0,2,1,0,0.0
0,3,1,4,1,0,0.0
2,9,1,4,0,2,27.13
5,20,1,3,3,0,0.0
2,1,1,2,1,0,0.0
6,8,1,2,0,2,60.15
5,8,2,2,1,0,0.0
4,22,1,3,0,0,8.39
0,22,1,2,0,1,32.92
4,17,2,2,0,1,44.08
2,11,0,2,0,2,34.84
1,21,0,2,2,0,0.0
6,13,1,4,1,0,0.0
1,5,0,2,0,0,12.89
5,10,1,3,1,0,0.0
2,5,0,4,3,0,0.0
6,1,0,3,1,0,0.0
6,14,0,3,1,0,0.0
1,0,0,4,3,0,0.0
2,8,2,2,0,5,145.48
3,21,0,4,0,0,6.59
2,5,0,4,0,0,6.02
4,13,1,3,2,0,0.0
3,19,1,4,1,0,0.0
4,6,0,3,3,0,0.0
0,16,2,4,0,3,47.4
3,2,0,4,4,0,0.0
2,21,1,2,1,0,0.0
4,9,2,4,0,4,57.04
5,9,1,4,0,4,47.31
5,12,1,4,1,0,0.0
4,18,2,3,0,3,63.08
2,6,1,3,2,0,0.0
3,14,1,3,1,0,0.0
4,15,0,4,0,1,14.61
4,21,1,4,2,0,0.0
0,7,2,4,0,2,36.69
1,0,0,2,1,0,0.0
4,2,0,3,1,0,0.0
5,22,0,3,3,0,0.0
1,4,1,4,0,0,4.6
6,13,0,2,2,0,0.0
4,14,1,2,0,0,16.9
3,4,1,3,2,0,0.0
6,14,1,4,4,0,0.0
3,17,1,3,1,0,0.0
3,8,2,2,0,5,143.23
3,20,0,2,1,0,0.0
0,22,0,3,2,0,0.0
2,10,0,4,1,0,0.0
1,7,2,3,0,2,46.65
0,13,0,3,3,0,0.0
3,1,0,2,1,0,0.0
6,18,1,4,1,0,0.0
3,0,0,3,3,0,0.0
6,13,1,4,4,0,0.0
6,19,2,2,0,3,97.22
3,15,0,2,1,0,0.0
5,21,1,3,1,0,0.0
6,14,1,2,2,0,0.0
0,12,1,4,0,0,10.19
5,13,0,2,0,0,14.36
2,12,0,3,3,0,0.0
2,10,0,3,3,0,0.0
2,2,0,3,0,1,14.99
1,20,1,2,0,0,15.63
1,6,1,2,0,0,16.91
1,15,0,4,4,0,0.0
1,14,0,4,2,0,0.0
1,19,2,4,0,2,37.95
2,3,0,4,2,0,0.0
4,21,0,3,1,0,0.0
0,18,2,4,0,1,23.04
5,9,2,4,0,5,71.63
6,1,1,3,3,0,0.0
5,11,1,2,2,0,0.0
2,0,0,3,0,1,14.45
2,20,1,3,1,0,0.0
3,5,1,4,2,0,0.0
4,17,2,3,1,0,0.0
6,23,0,4,2,0,0.0
6,7,2,2,1,0,0.0
1,14,1,4,3,0,0.0
2,0,0,3,1,0,0.0
3,6,0,3,2,0,0.0
2,19,2,4,0,5,69.61
1,2,1,2,1,0,0.0
3,17,2,2,1,0,0.0
5,22,0,3,0,0,9.96
2,7,2,3,0,3,66.71
5,18,2,3,0,4,79.86
5,17,2,3,1,0,0.0
2,9,1,3,0,2,41.01
2,3,1,4,1,0,0.0
1,6,0,4,2,0,0.0
5,18,2,4,0,1,24.72
6,6,0,3,2,0,0.0
1,9,2,2,0,3,94.71
0,1,0,4,1,0,0.0
5,15,0,2,2,0,0.0
2,15,0,3,2,0,0.0
1,1,0,3,0,0,9.06
3,15,1,2,2,0,0.0
5,1,0,2,2,0,0.0
2,2,0,2,2,0,0.0
6,13,1,4,4,0,0.0
1,16,2,3,1,0,0.0
2,18,2,3,0,5,99.08
5,3,1,2,0,1,32.43
5,2,0,2,0,2,40.63
0,5,0,2,1,0,0.0
5,19,2,3,0,2,42.76
2,22,1,3,3,0,0.0
0,21,0,2,2,0,0.0
4,21,0,2,0,2,39.14
1,20,0,2,0,0,12.67
0,5,1,3,2,0,0.0
3,3,1,3,2,0,0.0
5,12,1,3,3,0,0.0
3,2,0,4,3,0,0.0
5,10,0,4,0,0,5.65
1,21,1,4,0,2,24.56
6,8,1,4,0,4,44.77
4,20,0,3,1,0,0.0
4,13,0,4,0,1,12.06
2,13,0,3,0,0,9.05
2,13,0,4,2,0,0.0
5,12,0,4,3,0,0.0
0,10,0,3,0,1,19.62
6,16,2,2,1,0,0.0
3,1,1,2,1,0,0.0
4,15,0,4,0,0,5.21
2,17,2,2,1,0,0.0
5,15,0,2,2,0,0.0
4,7,1,4,0,5,56.88
0,17,1,3,0,1,25.0
3,3,0,4,3,0,0.0
5,9,2,4,0,4,61.83
6,15,0,3,3,0,0.0
4,4,0,3,1,0,0.0
6,2,0,3,2,0,0.0
6,16,1,3,0,3,52.66
6,18,2,4,1,0,0.0
6,4,1,3,3,0,0.0
2,10,1,4,3,0,0.0
3,10,1,2,0,2,47.69
3,7,1,3,0,4,66.03
5,12,1,3,1,0,0.0
3,1,1,2,2,0,0.0
2,3,0,3,3,0,0.0
0,23,0,2,2,0,0.0
1,2,0,3,2,0,0.0
4,22,1,3,0,1,21.86
6,21,0,4,2,0,0.0
5,22,1,3,0,2,34.44
0,7,2,4,0,2,34.6
5,2,0,3,0,1,16.01
1,22,0,3,0,1,15.88
6,1,0,3,2,0,0.0
3,4,1,2,1,0,0.0
4,21,0,2,0,0,9.57
4,12,1,4,1,0,0.0
3,18,1,2,1,0,0.0
5,8,2,3,0,4,80.59
2,21,0,4,0,1,13.02
2,18,2,3,1,0,0.0
5,8,2,3,0,4,80.01
6,15,0,2,1,0,0.0
4,11,0,4,2,0,0.0
0,21,0,3,0,2,24.53
6,21,0,4,4,0,0.0
5,15,0,3,2,0,0.0
1,20,1,2,1,0,0.0
5,23,1,4,1,0,0.0
5,3,1,4,0,1,13.42
6,14,1,2,1,0,0.0
5,4,0,2,1,0,0.0
5,13,0,2,0,2,36.66
2,16,2,4,0,3,47.31
6,15,1,3,2,0,0.0
6,3,0,3,1,0,0.0
6,7,2,4,1,0,0.0
6,17,1,3,1,0,0.0
0,8,1,4,1,0,0.0
2,21,1,4,2,0,0.0
4,12,0,4,0,2,17.15
1,15,1,2,2,0,0.0
2,19,2,2,0,4,119.68
5,9,2,4,0,2,36.81
0,1,0,3,0,0,12.11
1,17,2,2,1,0,0.0
2,21,1,4,4,0,0.0
3,18,2,4,0,4,60.35
5,3,1,3,3,0,0.0
2,1,0,4,1,0,0.0
3,14,0,2,0,2,38.02
2,17,2,4,0,4,59.85
2,6,0,2,0,2,33.66
1,20,1,4,0,0,8.07
6,10,0,2,2,0,0.0
1,2,0,4,4,0,0.0
1,7,1,3,0,3,52.12
6,4,1,2,1,0,0.0
6,5,1,2,0,0,21.18
0,11,1,2,1,0,0.0
0,5,0,3,1,0,0.0
5,13,0,4,0,1,12.12
3,11,1,4,0,1,16.85
4,7,1,4,0,4,48.68
5,0,0,2,1,0,0.0
3,21,0,2,2,0,0.0
3,2,0,2,2,0,0.0
1,2,0,2,2,0,0.0
5,18,2,4,0,4,57.66
4,16,2,3,1,0,0.0
0,22,1,2,2,0,0.0
6,17,1,4,1,0,0.0
3,7,2,3,1,0,0.0
3,13,0,4,2,0,0.0
3,10,0,4,2,0,0.0
1,21,0,3,0,0,10.62
0,13,1,2,2,0,0.0
2,4,0,4,4,0,0.0
4,17,2,3,0,4,81.5
2,21,1,3,0,1,23.25
4,9,1,3,0,2,37.18
5,15,0,2,1,0,0.0
6,17,1,3,0,5,80.81
1,13,1,4,4,0,0.0
5,20,0,4,4,0,0.0
5,22,0,3,1,0,0.0
2,22,0,3,2,0,0.0
0,5,1,2,2,0,0.0
3,2,1,2,2,0,0.0
0,2,1,4,1,0,0.0
3,13,0,3,1,0,0.0
2,9,2,4,0,1,21.2
1,5,0,4,0,1,13.67
3,21,0,3,3,0,0.0
3,8,2,2,0,3,100.38
3,3,1,3,3,0,0.0
4,21,0,3,1,0,0.0
3,19,1,2,0,3,76.02
1,4,0,3,2,0,0.0
0,0,1,3,3,0,0.0
1,4,1,3,1,0,0.0
4,17,2,4,0,4,58.87
6,23,0,2,0,1,25.2
0,10,0,4,4,0,0.0
3,22,0,4,2,0,0.0
0,12,0,2,0,2,36.49
3,22,0,3,3,0,0.0
6,3,0,2,2,0,0.0
3,16,2,2,0,3,92.9
1,10,0,2,2,0,0.0
5,3,1,4,1,0,0.0
6,11,1,3,1,0,0.0
1,3,0,2,0,0,12.64
4,4,0,4,1,0,0.0
6,20,0,3,3,0,0.0
5,18,2,4,0,3,45.88
1,14,0,2,1,0,0.0
5,9,2,3,0,3,64.95
4,2,0,3,3,0,0.0
0,1,0,3,0,2,23.16
6,2,1,4,4,0,0.0
3,14,1,4,0,1,19.35
6,18,1,4,0,5,56.93
3,16,1,2,1,0,0.0
0,10,0,4,4,0,0.0
5,5,0,2,2,0,0.0
3,14,1,4,4,0,0.0
1,11,0,3,3,0,0.0
3,10,1,4,0,2,23.73
5,10,0,2,0,2,39.13
5,12,0,3,1,0,0.0
2,2,1,4,1,0,0.0
2,9,2,4,1,0,0.0
1,19,1,4,0,5,56.04
3,20,0,3,0,2,25.45
5,13,0,4,0,1,15.11
2,5,0,2,1,0,0.0
1,7,1,2,0,3,74.79
6,3,1,4,4,0,0.0
0,21,1,3,1,0,0.0
4,12,0,2,0,2,37.87
6,19,2,2,1,0,0.0
0,13,1,3,1,0,0.0
3,19,2,3,1,0,0.0
1,17,2,2,1,0,0.0
6,6,1,3,3,0,0.0
3,9,2,3,1,0,0.0
1,6,0,4,2,0,0.0
0,20,0,3,0,2,25.52
